Date : 2021-05-01 21:40:19
Directory : /home/swithun/project/vscode/java/spring boot/scoring_system
Total : 52 files,  2470 codes, 603 comments, 483 blanks, all 3556 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| java     |         41 |      1,670 |        596 |        437 |      2,703 |
| Vue      |         10 |        772 |          7 |         46 |        825 |
| PlantUML |          1 |         28 |          0 |          0 |         28 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/App.vue                                                                                                                         | Vue      |         26 |          0 |          4 |         30 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/FilePreview.vue                                                                                                      | Vue      |         37 |          0 |          3 |         40 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/HelloWorld.vue                                                                                                       | Vue      |         57 |          0 |          3 |         60 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/Login.vue                                                                                                            | Vue      |         92 |          2 |          5 |         99 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/StudentHome.vue                                                                                                      | Vue      |        116 |          2 |         12 |        130 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/StudentMyPapers.vue                                                                                                  | Vue      |        147 |          1 |          5 |        153 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/StudentUploadPaper.vue                                                                                               | Vue      |        111 |          1 |          4 |        116 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/components/professorStudentsPaper.vue                                                                                           | Vue      |        166 |          0 |          6 |        172 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/views/About.vue                                                                                                                 | Vue      |          5 |          0 |          1 |          6 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/frontend_vue3/src/views/Home.vue                                                                                                                  | Vue      |         15 |          1 |          3 |         19 |
| /home/swithun/project/vscode/java/spring boot/scoring_system/文档/spring_security_jwt_时序图.puml                                                                                                                   | PlantUML |         28 |          0 |          0 |         28 |
| Total                                                                                                                                                                                                          |          |      2,470 |        603 |        483 |      3,556 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
