"filename", "language", "java", "comment", "blank", "total"
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/CommentForFileEntity.java", "java", 113, 0, 27, 140
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentEntity.java", "java", 96, 0, 21, 117
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/StudentFileEntity.java", "java", 121, 0, 28, 149
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TagCommentEntity.java", "java", 51, 0, 13, 64
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TagEntity.java", "java", 46, 0, 11, 57
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/TeacherEntity.java", "java", 88, 0, 20, 108
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/AdminService.java", "java", 137, 0, 25, 162
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/FileService.java", "java", 59, 0, 12, 71
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/StudentService.java", "java", 101, 0, 13, 114
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/TagService.java", "java", 36, 0, 9, 45
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/service/TeacherService.java", "java", 107, 0, 17, 124
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/convert/Entity2DTO.java", "java", 38, 0, 4, 42
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/Controller/JwtAuthenticationController.java", "java", 119, 0, 17, 136
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/AdminDaoAuthenticationProvider.java", "java", 32, 0, 8, 40
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/StudentDaoAutenticationProvider.java", "java", 50, 0, 8, 58
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/DaoAutenticationProvider/TeacherDaoAutenticationProvider.java", "java", 50, 0, 8, 58
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/JwtAuthenticationEntryPoint.java", "java", 26, 0, 8, 34
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/JwtRequestFilter.java", "java", 112, 0, 27, 139
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/AdminUsernamePasswordAuthenticationToken.java", "java", 16, 0, 6, 22
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/StudentUsernamePasswordAuthenticationToken.java", "java", 16, 0, 5, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/UsernamePasswordAuthenticationToken/TeacherUsernamePasswordAutenticationToken.java", "java", 16, 0, 5, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/config/WebSecurityConfig.java", "java", 125, 0, 33, 158
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/JwtRequest.java", "java", 44, 0, 13, 57
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/JwtResponse.java", "java", 12, 0, 5, 17
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/model/UserDTO.java", "java", 33, 0, 8, 41
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtAdminUserDetialsService.java", "java", 59, 0, 8, 67
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtStudentUserDetailsService.java", "java", 61, 0, 10, 71
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/services/JwtTeacherUserDetailsService.java", "java", 46, 0, 7, 53
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/tools/JwtTokenUtil.java", "java", 90, 0, 17, 107
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/tools/secret/tools/temp.java", "java", 76, 0, 15, 91
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/test/java/com/swithun/backend/BackendApplicationTests.java", "java", 9, 0, 5, 14
"Total", "-", 3008, 0, 599, 3607
