"filename", "language", "java", "comment", "blank", "total"
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/.mvn/wrapper/MavenWrapperDownloader.java", "java", 107, 0, 11, 118
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/BackendApplication.java", "java", 18, 0, 4, 22
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/WebMvcConfiguration.java", "java", 14, 0, 6, 20
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CommonStatusCodeEnum.java", "java", 23, 0, 9, 32
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/CustomResponseBodyAdvice.java", "java", 38, 0, 6, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/config/uniform_response/UnifiedResponsor.java", "java", 101, 0, 17, 118
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/AdminController.java", "java", 56, 0, 17, 73
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/LoginController.java", "java", 36, 0, 8, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/StudentController.java", "java", 102, 0, 18, 120
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/TagController.java", "java", 37, 0, 10, 47
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/controller/TeacherController.java", "java", 90, 0, 20, 110
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/AdminRepository.java", "java", 32, 0, 4, 36
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/CommentForFileRepository.java", "java", 25, 0, 5, 30
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentFileRepository.java", "java", 22, 0, 5, 27
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/StudentRepository.java", "java", 17, 0, 4, 21
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TagCommentRepository.java", "java", 14, 0, 5, 19
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TagRepository.java", "java", 25, 0, 5, 30
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dao/TeacherRepository.java", "java", 17, 0, 3, 20
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/AddFileFileListDTO.java", "java", 41, 0, 3, 44
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/CommentDTO.java", "java", 65, 0, 3, 68
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/StudentGetFileListDTO.java", "java", 40, 0, 1, 41
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/dto/TeacherGetFileListDTO.java", "java", 54, 0, 13, 67
"/home/swithun/project/vscode/java/spring boot/scoring_system/backend/src/main/java/com/swithun/backend/entity/AdminEntity.java", "java", 49, 0, 9, 58
